siteID,plotID,siteName,plotType,longitude,latitude,elevation,Year,Landsat_NPP
CPER,CPER_063,Central Plains Experimental Range NEON,tower,-104.747802,40.818369,1651.2,2017,2121.8723404255315
CPER,CPER_063,Central Plains Experimental Range NEON,tower,-104.747802,40.818369,1651.2,2018,1866.0638297872338
CPER,CPER_063,Central Plains Experimental Range NEON,tower,-104.747802,40.818369,1651.2,2019,1956
CPER,CPER_063,Central Plains Experimental Range NEON,tower,-104.747802,40.818369,1651.2,2013,1591.7021276595744
CPER,CPER_063,Central Plains Experimental Range NEON,tower,-104.747802,40.818369,1651.2,2014,2683.191489361702
CPER,CPER_063,Central Plains Experimental Range NEON,tower,-104.747802,40.818369,1651.2,2015,2462.659574468085
CPER,CPER_063,Central Plains Experimental Range NEON,tower,-104.747802,40.818369,1651.2,2020,1426.1914893617018
CPER,CPER_064,Central Plains Experimental Range NEON,tower,-104.745994,40.818358,1648.46,2016,1855.4131736526947
CPER,CPER_064,Central Plains Experimental Range NEON,tower,-104.745994,40.818358,1648.46,2017,2122.1077844311376
CPER,CPER_064,Central Plains Experimental Range NEON,tower,-104.745994,40.818358,1648.46,2018,1774.0059880239521
CPER,CPER_064,Central Plains Experimental Range NEON,tower,-104.745994,40.818358,1648.46,2019,1904.4131736526947
CPER,CPER_064,Central Plains Experimental Range NEON,tower,-104.745994,40.818358,1648.46,2013,1538.1437125748503
CPER,CPER_064,Central Plains Experimental Range NEON,tower,-104.745994,40.818358,1648.46,2014,2558.4131736526947
CPER,CPER_064,Central Plains Experimental Range NEON,tower,-104.745994,40.818358,1648.46,2015,2465.5508982035926
CPER,CPER_064,Central Plains Experimental Range NEON,tower,-104.745994,40.818358,1648.46,2020,1399.7125748502995
CPER,CPER_065,Central Plains Experimental Range NEON,tower,-104.743864,40.818362,1645.56,2016,1935.748502994012
CPER,CPER_065,Central Plains Experimental Range NEON,tower,-104.743864,40.818362,1645.56,2017,2180.11377245509
CPER,CPER_065,Central Plains Experimental Range NEON,tower,-104.743864,40.818362,1645.56,2018,1756.5389221556884
CPER,CPER_065,Central Plains Experimental Range NEON,tower,-104.743864,40.818362,1645.56,2019,1049.2574850299402
CPER,CPER_065,Central Plains Experimental Range NEON,tower,-104.743864,40.818362,1645.56,2013,1558
CPER,CPER_065,Central Plains Experimental Range NEON,tower,-104.743864,40.818362,1645.56,2014,2598.6826347305387
CPER,CPER_065,Central Plains Experimental Range NEON,tower,-104.743864,40.818362,1645.56,2015,2473.1377245508984
CPER,CPER_065,Central Plains Experimental Range NEON,tower,-104.743864,40.818362,1645.56,2020,580.49700598802394
CPER,CPER_066,Central Plains Experimental Range NEON,tower,-104.749576,40.816750999999996,1651.16,2016,1823.2230215827335
CPER,CPER_066,Central Plains Experimental Range NEON,tower,-104.749576,40.816750999999996,1651.16,2017,2077.8992805755393
CPER,CPER_066,Central Plains Experimental Range NEON,tower,-104.749576,40.816750999999996,1651.16,2018,1834.8776978417266
CPER,CPER_066,Central Plains Experimental Range NEON,tower,-104.749576,40.816750999999996,1651.16,2019,2007.8345323741005
CPER,CPER_066,Central Plains Experimental Range NEON,tower,-104.749576,40.816750999999996,1651.16,2013,1641.726618705036
CPER,CPER_066,Central Plains Experimental Range NEON,tower,-104.749576,40.816750999999996,1651.16,2014,2616.9064748201436
