siteID,plotID,siteName,plotType,longitude,latitude,elevation,NPP_2016,NPP_2017,NPP_2018,NPP_2019,NPP_2013,NPP_2014,NPP_2015,NPP_2020
BLAN,BLAN_043,Blandy Experimental Farm NEON,tower,-78.069523,39.057695,183.05,4053.4087591240873,4597.080291970803,4094.4014598540143,10578.357664233577,3486.912408759124,4387.970802919708,4342.335766423358,10530.934306569343
BLAN,BLAN_044,Blandy Experimental Farm NEON,tower,-78.072571,39.059389,183.71,11967.343065693429,12318.34306569343,11582.63503649635,4383.313868613138,10295.64233576642,11570.56934306569,11890.737226277372,4309.423357664234
BLAN,BLAN_045,Blandy Experimental Farm NEON,tower,-78.071244,39.05828,183.79,3830.0656934306567,4352.576642335766,3942.0437956204373,10829.459854014598,3189.9781021897807,4345.919708029197,4426.423357664233,10330.328467153284
BLAN,BLAN_046,Blandy Experimental Farm NEON,tower,-78.072671,39.057488,184.55,4585.4671532846705,4883.875912408759,4383.846715328467,5743.430656934306,3581.299270072993,4697.131386861313,4797.839416058394,5675.160583941605
BLAN,BLAN_047,Blandy Experimental Farm NEON,tower,-78.074263,39.060777,180.98,4950.440251572327,5331.528301886793,4822.1132075471705,8133.2138364779885,4235.006289308177,5019.974842767296,5110.591194968553,8263.735849056604
BLAN,BLAN_034,Blandy Experimental Farm NEON,tower,-78.071177,39.059364,182.62,4428.75,4836.5,4335.249999999999,10015.75,3587,4690.749999999999,4778.749999999999,9823.75
BLAN,BLAN_048,Blandy Experimental Farm NEON,tower,-78.07596,39.061351,190.71,7858.499999999999,8268.5,8332,8439,6396.5,7834,8032.999999999999,8381.5
BLAN,BLAN_049,Blandy Experimental Farm NEON,tower,-78.069838,39.058787,179.81,3669.196078431373,4365.607843137254,4059.7254901960787,10633.333333333334,3170.1372549019607,4464.196078431372,4639.607843137254,10372.137254901962
BLAN,BLAN_050,Blandy Experimental Farm NEON,tower,-78.072602,39.058855,183.09,11915.668918918918,12243.864864864863,11527.945945945945,4267.378378378377,10351.635135135135,11606.601351351352,11891.506756756755,4242.182432432432
BLAN,BLAN_051,Blandy Experimental Farm NEON,tower,-78.069551,39.057157,183.45,4045.0220588235297,4666.558823529412,4137.654411764706,10758.77205882353,3555.257352941176,4410.5,4254.426470588235,10739.985294117647
BLAN,BLAN_052,Blandy Experimental Farm NEON,tower,-78.071895,39.059365,182.87,12016,12435,11539,4407,10389,11720,12021,4401
BLAN,BLAN_053,Blandy Experimental Farm NEON,tower,-78.073686,39.058047,186.43,4420.076433121019,4668.343949044585,4194.509554140127,4577.286624203821,3740.9363057324845,4453.48407643312,4358.547770700637,4764.503184713375
BLAN,BLAN_054,Blandy Experimental Farm NEON,tower,-78.07197,39.05694,181.8,3949.59756097561,4445.286585365853,4109.591463414634,11584.341463414634,3254.573170731707,4566.567073170731,4420.920731707317,10804.84756097561
BLAN,BLAN_055,Blandy Experimental Farm NEON,tower,-78.072521,39.061,179.74,4344.367647058823,4650.02205882353,4094.477941176471,4509.904411764706,3768.8382352941176,4476.058823529412,4385.60294117647,4556.632352941177
BLAN,BLAN_056,Blandy Experimental Farm NEON,tower,-78.07191,39.058569,183.34,4684,4883,4376,4785,3647,4717,4780,4767
BLAN,BLAN_057,Blandy Experimental Farm NEON,tower,-78.07441,39.057518,184.86,4161.986842105262,4426.927631578947,3893.6710526315783,4279.138157894737,3448.41447368421,4343.4473684210525,4231.782894736842,4410.467105263158
BLAN,BLAN_059,Blandy Experimental Farm NEON,tower,-78.073037,39.056952,182.63,4551.266666666666,4825.933333333333,4419.2,11338.466666666667,3756.4666666666662,4725.333333333333,4641.6,10954.133333333331
BLAN,BLAN_035,Blandy Experimental Farm NEON,tower,-78.073734,39.057244,183.65,4153.585365853658,4433.451219512195,3935.9146341463406,4255.719512195122,3514.871951219512,4340.536585365853,4254.60975609756,4414.365853658536
BLAN,BLAN_060,Blandy Experimental Farm NEON,tower,-78.070252,39.057168,181.55,3994.553956834533,4784.208633093526,4195.122302158274,10442.618705035971,3484.604316546763,4438.309352517986,4367.928057553957,11086.294964028777
BLAN,BLAN_063,Blandy Experimental Farm NEON,tower,-78.075994,39.060809,191.93,7817.416666666668,8369.833333333332,8308.916666666666,8425.430555555557,6528.861111111111,7836.541666666666,8055.145833333334,8363.8125
BLAN,BLAN_064,Blandy Experimental Farm NEON,tower,-78.071216,39.058792,183.76,3987,4425.030303030303,4134.363636363637,11052.121212121212,3318.5151515151515,4599.545454545454,4562.939393939394,10639.151515151514
DCFS,DCFS_068,Dakota Coteau Field Site NEON,tower,-99.11147,47.160152,565.79,4860.305194805194,4195.363636363637,3941.584415584416,4417.305194805195,3265.5064935064934,3973.720779220779,4113.363636363637,4249.902597402598
DCFS,DCFS_069,Dakota Coteau Field Site NEON,tower,-99.111086,47.162052,570.72,4885.87741935484,4235.18064516129,3831.9935483870977,4355.61935483871,3318.574193548387,4090.7741935483873,4125.5741935483875,4024.167741935484
DCFS,DCFS_070,Dakota Coteau Field Site NEON,tower,-99.108691,47.16476,567.16,4869.098039215686,4197.222222222223,3899.091503267973,4425.071895424837,3294.581699346405,4002.287581699346,4123.601307189542,4166.359477124182
DCFS,DCFS_071,Dakota Coteau Field Site NEON,tower,-99.109879,47.163665,572.48,4742.487179487181,4083.51923076923,3701.608974358974,4279.9358974358975,3205.564102564102,3889.3205128205127,4002.51282051282,3904.0512820512818
DCFS,DCFS_072,Dakota Coteau Field Site NEON,tower,-99.109103,47.162052,568.28,4737.7922077922085,4190.844155844156,3934.2597402597407,4333.168831168831,3282.4675324675327,3916.2597402597403,4061.662337662338,4069.532467532468
DCFS,DCFS_073,Dakota Coteau Field Site NEON,tower,-99.111889,47.162587,573.36,4714.4000000000005,3974.4000000000005,3736.7999999999997,4197.4,3258,4011.2000000000003,3912.0000000000005,3914
